participant_id,vis,task_order,correctness,vis_order,duration_ms,log_duration,bc_duration
5e8f53644b34ff22d9b3a1c5,blossom,1,1,1,118428,11.68206046,2.877950687
5e8f53644b34ff22d9b3a1c5,blossom,2,0,1,30307,10.31913399,2.845647378
5e8f53644b34ff22d9b3a1c5,blossom,3,0,1,56167,10.93608467,2.86213513
5e8f53644b34ff22d9b3a1c5,blossom,4,1,1,16163,9.690479958,2.824870184
5e8f53644b34ff22d9b3a1c5,blossom,5,1,1,57154,10.95350466,2.862552177
5e8f53644b34ff22d9b3a1c5,blossom,6,0,1,38990,10.57106048,2.852801342
5e8f53644b34ff22d9b3a1c5,blossom,7,0,1,35004,10.46321762,2.849813991
5e8f53644b34ff22d9b3a1c5,blossom,8,1,1,78123,11.26603979,2.869628524
5e8f53644b34ff22d9b3a1c5,blossom,9,0,1,55216,10.91900805,2.861723891
5e8f53644b34ff22d9b3a1c5,diverging,1,1,2,28637,10.26245487,2.843951398
5e8f53644b34ff22d9b3a1c5,diverging,2,1,2,13606,9.518266151,2.818357255
5e8f53644b34ff22d9b3a1c5,diverging,3,1,2,28895,10.27142385,2.84422196
5e8f53644b34ff22d9b3a1c5,diverging,4,1,2,18733,9.838041953,2.830154488
5e8f53644b34ff22d9b3a1c5,diverging,5,1,2,23756,10.07559041,2.838121987
5e8f53644b34ff22d9b3a1c5,diverging,6,0,2,34475,10.4479897,2.849383242
5e8f53644b34ff22d9b3a1c5,diverging,7,0,2,71416,11.17627721,2.867672738
5e8f53644b34ff22d9b3a1c5,diverging,8,1,2,23314,10.05680932,2.837515288
5e8f53644b34ff22d9b3a1c5,diverging,9,0,2,70550,11.16407696,2.867402262
5e8f53644b34ff22d9b3a1c5,radial,1,0,3,91199,11.42079921,2.872863048
5e8f53644b34ff22d9b3a1c5,radial,2,1,3,24908,10.12294432,2.839634557
5e8f53644b34ff22d9b3a1c5,radial,3,0,3,23714,10.07382087,2.83806499
5e8f53644b34ff22d9b3a1c5,radial,4,1,3,22997,10.04311905,2.837070586
5e8f53644b34ff22d9b3a1c5,radial,5,0,3,31095,10.34480231,2.84640472
5e8f53644b34ff22d9b3a1c5,radial,6,1,3,20727,9.939192477,2.833626175
5e8f53644b34ff22d9b3a1c5,radial,7,0,3,27258,10.21310233,2.842447714
5e8f53644b34ff22d9b3a1c5,radial,8,1,3,19522,9.879297314,2.831584929
5e8f53644b34ff22d9b3a1c5,radial,9,0,3,115109,11.65363478,2.877418862
5f4a4da1575d605c43bef871,diverging,1,1,1,16178,9.691407574,2.82490424
5f4a4da1575d605c43bef871,diverging,2,1,1,17964,9.796125034,2.828680351
5f4a4da1575d605c43bef871,diverging,3,0,1,19433,9.874727931,2.831427485
5f4a4da1575d605c43bef871,diverging,4,1,1,24223,10.09505787,2.838746771
5f4a4da1575d605c43bef871,diverging,5,0,1,37097,10.52129138,2.851436334
5f4a4da1575d605c43bef871,diverging,6,0,1,40518,10.6095016,2.853839917
5f4a4da1575d605c43bef871,diverging,7,1,1,20952,9.949989386,2.833989723
5f4a4da1575d605c43bef871,diverging,8,0,1,27997,10.23985264,2.843265888
5f4a4da1575d605c43bef871,diverging,9,1,1,42342,10.65353478,2.855012964
5f4a4da1575d605c43bef871,blossom,1,0,2,40970,10.62059537,2.854137118
5f4a4da1575d605c43bef871,blossom,2,1,2,29680,10.2982287,2.845025652
5f4a4da1575d605c43bef871,blossom,3,0,2,28108,10.24380951,2.843386279
5f4a4da1575d605c43bef871,blossom,4,1,2,12003,9.392911898,2.813370108
5f4a4da1575d605c43bef871,blossom,5,1,2,13685,9.524055621,2.818582476
5f4a4da1575d605c43bef871,blossom,6,0,2,9541,9.163353581,2.803665807
5f4a4da1575d605c43bef871,blossom,7,1,2,25417,10.14317352,2.840273306
5f4a4da1575d605c43bef871,blossom,8,0,2,22999,10.04320602,2.837073418
5f4a4da1575d605c43bef871,blossom,9,0,2,22686,10.02950327,2.83662624
5f4a4da1575d605c43bef871,radial,1,0,3,11712,9.368369236,2.812368489
5f4a4da1575d605c43bef871,radial,2,1,3,14631,9.590897844,2.821150809
5f4a4da1575d605c43bef871,radial,3,0,3,44707,10.70788537,2.85643679
5f4a4da1575d605c43bef871,radial,4,1,3,23694,10.07297713,2.838037801
5f4a4da1575d605c43bef871,radial,5,1,3,22300,10.01234196,2.83606324
5f4a4da1575d605c43bef871,radial,6,0,3,19736,9.890199658,2.831959595
5f4a4da1575d605c43bef871,radial,7,0,3,24567,10.10915936,2.839196758
5f4a4da1575d605c43bef871,radial,8,1,3,19257,9.86562991,2.831113268
5f4a4da1575d605c43bef871,radial,9,0,3,19343,9.870085876,2.831267285
629642bfde2bf56c1ec2a420,blossom,1,1,1,31006,10.34193601,2.846320478
629642bfde2bf56c1ec2a420,blossom,2,0,1,12866,9.462343452,2.816158719
629642bfde2bf56c1ec2a420,blossom,3,1,1,55536,10.92478674,2.861863321
629642bfde2bf56c1ec2a420,blossom,4,1,1,46219,10.74114625,2.857295201
629642bfde2bf56c1ec2a420,blossom,5,1,1,21451,9.973526543,2.834777629
629642bfde2bf56c1ec2a420,blossom,6,0,1,56237,10.93733018,2.86216503
629642bfde2bf56c1ec2a420,blossom,7,0,1,22375,10.01569954,2.83617365
