participant_number,participant_id,vis,vis_key,rating,ease_of_reading,learnability,confidence,aesthetics,age,gender,highest_degree,attention_check,platform,browser,input_device,input_device_skill
1,63d209778cf36665be2d42ec,Diverging Bar Chart,diverging,5,5,5,5,5,28,Male,High School,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
1,63d209778cf36665be2d42ec,Radial Bar Chart,radial,4,4,4,4,4,28,Male,High School,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
1,63d209778cf36665be2d42ec,Blossom Glyph,blossom,4,4,4,4,4,28,Male,High School,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
2,697ed59824964096e537d7d3,Diverging Bar Chart,diverging,4.25,5,4,4,4,22,Male,High School,5,MAC,Chrome,A regular mouse,5 = Very Good
2,697ed59824964096e537d7d3,Radial Bar Chart,radial,4,4,4,4,4,22,Male,High School,5,MAC,Chrome,A regular mouse,5 = Very Good
2,697ed59824964096e537d7d3,Blossom Glyph,blossom,3.25,1,4,4,4,22,Male,High School,5,MAC,Chrome,A regular mouse,5 = Very Good
3,63f794e7d8d24753edbbb136,Diverging Bar Chart,diverging,4.5,5,5,4,4,40,Female,High School,5,MAC,Chrome,A touchpad of Laptop,4 = Good
3,63f794e7d8d24753edbbb136,Radial Bar Chart,radial,4.25,4,4,4,5,40,Female,High School,5,MAC,Chrome,A touchpad of Laptop,4 = Good
3,63f794e7d8d24753edbbb136,Blossom Glyph,blossom,2.75,2,3,2,4,40,Female,High School,5,MAC,Chrome,A touchpad of Laptop,4 = Good
4,62ceba5fdab49dfc90278cbb,Diverging Bar Chart,diverging,4.75,4,5,5,5,27,Female,Associates,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
4,62ceba5fdab49dfc90278cbb,Radial Bar Chart,radial,5,5,5,5,5,27,Female,Associates,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
4,62ceba5fdab49dfc90278cbb,Blossom Glyph,blossom,2.25,3,3,2,1,27,Female,Associates,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
5,63ecff07b619306f41db42fa,Diverging Bar Chart,diverging,5,5,5,5,5,35,Male,High School,5,Windows,Chrome,A regular mouse,5 = Very Good
5,63ecff07b619306f41db42fa,Radial Bar Chart,radial,1.75,1,2,2,2,35,Male,High School,5,Windows,Chrome,A regular mouse,5 = Very Good
5,63ecff07b619306f41db42fa,Blossom Glyph,blossom,5,5,5,5,5,35,Male,High School,5,Windows,Chrome,A regular mouse,5 = Very Good
6,69456dc21e6c9536e4bb8f4a,Diverging Bar Chart,diverging,5,5,5,5,5,26,Female,Masters,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
6,69456dc21e6c9536e4bb8f4a,Radial Bar Chart,radial,3,2,4,4,2,26,Female,Masters,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
6,69456dc21e6c9536e4bb8f4a,Blossom Glyph,blossom,4.25,4,5,4,4,26,Female,Masters,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
7,69abcd95cbb74f22b9500bdd,Diverging Bar Chart,diverging,4.25,4,5,4,4,24,Male,Bachelors,5,MAC,Chrome,A touchpad of Laptop,5 = Very Good
7,69abcd95cbb74f22b9500bdd,Radial Bar Chart,radial,3.25,3,4,4,2,24,Male,Bachelors,5,MAC,Chrome,A touchpad of Laptop,5 = Very Good
7,69abcd95cbb74f22b9500bdd,Blossom Glyph,blossom,3,2,4,4,2,24,Male,Bachelors,5,MAC,Chrome,A touchpad of Laptop,5 = Very Good
8,5f4a4da1575d605c43bef871,Diverging Bar Chart,diverging,4.25,4,4,4,5,67,Female,High School,5,Windows,Chrome,A regular mouse,3 = Neutral
8,5f4a4da1575d605c43bef871,Radial Bar Chart,radial,4,4,4,4,4,67,Female,High School,5,Windows,Chrome,A regular mouse,3 = Neutral
8,5f4a4da1575d605c43bef871,Blossom Glyph,blossom,1.25,1,2,1,1,67,Female,High School,5,Windows,Chrome,A regular mouse,3 = Neutral
9,674bea1eb044fbe75795fef1,Diverging Bar Chart,diverging,3.5,4,4,3,3,47,Female,Bachelors,5,Windows,Chrome,A touchpad of Laptop,4 = Good
9,674bea1eb044fbe75795fef1,Radial Bar Chart,radial,4.5,5,4,5,4,47,Female,Bachelors,5,Windows,Chrome,A touchpad of Laptop,4 = Good
9,674bea1eb044fbe75795fef1,Blossom Glyph,blossom,4.25,4,5,3,5,47,Female,Bachelors,5,Windows,Chrome,A touchpad of Laptop,4 = Good
10,66769d971af102d5b24e5f8c,Diverging Bar Chart,diverging,4.75,5,5,4,5,21,Female,High School,5,Windows,Chrome,A regular mouse,5 = Very Good
10,66769d971af102d5b24e5f8c,Radial Bar Chart,radial,4,4,4,4,4,21,Female,High School,5,Windows,Chrome,A regular mouse,5 = Very Good
10,66769d971af102d5b24e5f8c,Blossom Glyph,blossom,2.5,2,4,2,2,21,Female,High School,5,Windows,Chrome,A regular mouse,5 = Very Good
11,695fc71f6c3e211274612a66,Diverging Bar Chart,diverging,4.5,4,5,4,5,21,Female,Bachelors,5,MAC,Chrome,A touchpad of Laptop,4 = Good
11,695fc71f6c3e211274612a66,Radial Bar Chart,radial,1.75,2,2,2,1,21,Female,Bachelors,5,MAC,Chrome,A touchpad of Laptop,4 = Good
11,695fc71f6c3e211274612a66,Blossom Glyph,blossom,3.5,3,4,3,4,21,Female,Bachelors,5,MAC,Chrome,A touchpad of Laptop,4 = Good
12,62c35e9517e15b36b957a678,Diverging Bar Chart,diverging,4,4,4,4,4,39,Male,High School,5,Linux,Chrome,A regular mouse,4 = Good
12,62c35e9517e15b36b957a678,Radial Bar Chart,radial,4,4,4,4,4,39,Male,High School,5,Linux,Chrome,A regular mouse,4 = Good
12,62c35e9517e15b36b957a678,Blossom Glyph,blossom,4,4,4,4,4,39,Male,High School,5,Linux,Chrome,A regular mouse,4 = Good
13,699198e00ef2a3ec51fef431,Diverging Bar Chart,diverging,5,5,5,5,5,45,Male,Bachelors,5,Windows,Internet Explorer,A regular mouse,5 = Very Good
13,699198e00ef2a3ec51fef431,Radial Bar Chart,radial,5,5,5,5,5,45,Male,Bachelors,5,Windows,Internet Explorer,A regular mouse,5 = Very Good
13,699198e00ef2a3ec51fef431,Blossom Glyph,blossom,5,5,5,5,5,45,Male,Bachelors,5,Windows,Internet Explorer,A regular mouse,5 = Very Good
